instance	weak	medium	bounded_strong	source_runs	forced_local_optimum_share
c203	0.517051443337527	0.0416850838121791	0.441263472850294	20	0.0052088618298664
c204	0.517051443337527	0.0416850838121791	0.441263472850294	20	0.0052088618298664
c205	0.517051443337527	0.0416850838121791	0.441263472850294	20	0.0052088618298664
c206	0.515870538037257	0.0438477815936448	0.440281680369098	20	0.00497048772910842
c207	0.515870538037257	0.0438477815936448	0.440281680369098	20	0.00497048772910842
c208	0.515870538037257	0.0438477815936448	0.440281680369098	20	0.00497048772910842
r101	0.656943410108478	0.0336022108370495	0.309454379054472	20	0.00446623969415191
r102	0.656943410108478	0.0336022108370495	0.309454379054472	20	0.00446623969415191
r103	0.656943410108478	0.0336022108370495	0.309454379054472	20	0.00446623969415191
r104	0.653601184797521	0.0342991613741471	0.312099653828332	20	0.00457641068311521
r105	0.656943410108478	0.0336022108370495	0.309454379054472	20	0.00446623969415191
r106	0.660234480792531	0.0333725322500178	0.306392986957451	20	0.00437285459593227
r107	0.655896020911995	0.0336370897473134	0.310466889340691	20	0.00431977154011604
r108	0.652934048814263	0.0334721171979629	0.313593833987774	20	0.00455266857116946
r109	0.656849765385066	0.03406194554772	0.309088289067214	20	0.00459899951589479
r110	0.653537583703583	0.0342991613741471	0.31216325492227	20	0.00457641068311521
r111	0.659817759514025	0.0334107557620154	0.306771484723959	20	0.00444681607968694
r112	0.653912616414435	0.0342331199068685	0.311854263678696	20	0.00458993834816538
r201	0.546017479919323	0.0470967057075121	0.406885814373164	20	0.00440357922919749
r202	0.545999173667539	0.0489257678005784	0.405075058531883	20	0.0045583850293039
r203	0.546017479919323	0.0470967057075121	0.406885814373164	20	0.00440357922919749
r204	0.547032645989741	0.0474912525053504	0.405476101504909	20	0.00459878943631015
r205	0.545080251221214	0.0498953244940684	0.405024424284717	20	0.00423876033632131
r206	0.54746090318046	0.0471270426989984	0.405412054120541	20	0.00458266284195061
r207	0.546562404793338	0.04701939677059	0.406418198436072	20	0.00444848852492165
r208	0.547332545037212	0.0474368783473604	0.405230576615427	20	0.00429392617217259
r209	0.545412876383894	0.0478104506029194	0.406776673013187	20	0.0044229149115417
r210	0.546017479919323	0.0470967057075121	0.406885814373164	20	0.00440357922919749
r211	0.547679496293287	0.0468839917402932	0.40543651196642	20	0.00451558550968829
rc101	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc102	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc103	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc104	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc105	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc106	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc107	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc108	0.618123136568038	0.0283487655839491	0.353528097848013	20	0.00486663272100584
rc201	0.549663043110163	0.0500186257577297	0.400318331132107	20	0.0046851826884185
rc202	0.549545517146399	0.0506128632419777	0.399841619611624	20	0.00442189695951736
rc203	0.549663043110163	0.0500186257577297	0.400318331132107	20	0.0046851826884185
rc204	0.55010857163888	0.0524456221706967	0.397445806190424	20	0.00454295658545521
rc205	0.547469795132201	0.0515846611801786	0.40094554368762	20	0.00425428043379712
rc206	0.551940600742491	0.0507931150860614	0.397266284171448	20	0.00463585057780167
rc207	0.549663043110163	0.0500186257577297	0.400318331132107	20	0.0046851826884185
rc208	0.548502244792817	0.0514830352542872	0.400014719952896	20	0.0043965706748736
